FIPS,CTYNAME,abbrv,state,county,ID,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13025,Brantley County,GA,GA,Brantley,257,0.885,0.098,6285,5561,619,0.903,0.09,7746,6991,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54007,Braxton County,WV,WV,Braxton,258,0.694,0.26,5063,3516,1315,0.727,0.257,5664,4120,1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48039,Brazoria County,TX,TX,Brazoria,259,0.604,0.358,120296,72653,43075,0.584,0.401,154037,89939,61780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48041,Brazos County,TX,TX,Brazos,260,0.585,0.349,66036,38662,23041,0.56,0.416,84753,47456,35242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21025,Breathitt County,KY,KY,Breathitt,261,0.696,0.268,5735,3991,1537,0.753,0.23,5667,4265,1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21027,Breckinridge County,KY,KY,Breckinridge,262,0.739,0.223,8771,6484,1960,0.755,0.23,10197,7701,2350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19017,Bremer County,IA,IA,Bremer,263,0.539,0.401,13350,7199,5349,0.57,0.41,14534,8287,5954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12009,Brevard County,FL,FL,Brevard,264,0.578,0.38,314337,181620,119525,0.576,0.412,360666,207857,148479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48043,Brewster County,TX,TX,Brewster,265,0.491,0.442,4226,2073,1869,0.51,0.468,4805,2451,2251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48045,Briscoe County,TX,TX,Briscoe,266,0.851,0.124,734,625,91,0.883,0.106,724,639,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060,Bristol Bay Borough,AK,AK,Bristol Bay Borough,4929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51520,Bristol city,VA,VA,Bristol city,269,0.701,0.263,6966,4884,1832,0.687,0.297,7785,5347,2313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
